framework,dataset,task,is_correct,overall_accuracy,reasoning_alignment
autogpt,gsm8k,GSM8K,True,100.0,1.0
camel-ai,gsm8k,GSM8K,True,100.0,1.0
camel-ai,gsm8k,GSM8K,True,100.0,1.0
camel-ai,gsm8k,GSM8K,True,100.0,1.0
crewai,gsm8k,GSM8K,True,100.0,1.0
crewai,gsm8k,GSM8K,True,100.0,1.0
crewai,gsm8k,GSM8K,True,100.0,1.0
google_adk,gsm8k,GSM8K,True,100.0,1.0
google_adk,gsm8k,GSM8K,True,100.0,1.0
google_adk,gsm8k,GSM8K,True,100.0,1.0
intentkit,gsm8k,GSM8K,True,66.66666666666666,1.0
intentkit,gsm8k,GSM8K,True,66.66666666666666,1.0
intentkit,gsm8k,GSM8K,False,66.66666666666666,0.0
langchain,gsm8k,GSM8K,True,100.0,1.0
langchain,gsm8k,GSM8K,True,100.0,1.0
langchain,gsm8k,GSM8K,True,100.0,1.0
langgraph,gsm8k,GSM8K,True,100.0,1.0
langgraph,gsm8k,GSM8K,True,100.0,1.0
langgraph,gsm8k,GSM8K,True,100.0,1.0
letta,gsm8k,GSM8K,False,33.33333333333333,0.0
letta,gsm8k,GSM8K,False,33.33333333333333,0.0
letta,gsm8k,GSM8K,True,33.33333333333333,1.0
livekit,gsm8k,GSM8K,True,100.0,1.0
livekit,gsm8k,GSM8K,True,100.0,1.0
livekit,gsm8k,GSM8K,True,100.0,1.0
mastra,gsm8k,GSM8K,True,100.0,1.0
mastra,gsm8k,GSM8K,True,100.0,1.0
mastra,gsm8k,GSM8K,True,100.0,1.0
metagpt,gsm8k,GSM8K,True,100.0,1.0
metagpt,gsm8k,GSM8K,True,100.0,1.0
metagpt,gsm8k,GSM8K,True,100.0,1.0
openai-agents,gsm8k,GSM8K,True,100.0,1.0
openai-agents,gsm8k,GSM8K,True,100.0,1.0
openai-agents,gsm8k,GSM8K,True,100.0,1.0
praisonai,gsm8k,GSM8K,True,100.0,1.0
praisonai,gsm8k,GSM8K,True,100.0,1.0
praisonai,gsm8k,GSM8K,True,100.0,0.0
pydantic,gsm8k,GSM8K,True,100.0,1.0
pydantic,gsm8k,GSM8K,True,100.0,1.0
pydantic,gsm8k,GSM8K,True,100.0,1.0
qwen_agent,gsm8k,GSM8K,True,33.33333333333333,1.0
qwen_agent,gsm8k,GSM8K,False,33.33333333333333,0.0
qwen_agent,gsm8k,GSM8K,False,33.33333333333333,0.0
semantic-kernel,gsm8k,GSM8K,True,100.0,1.0
semantic-kernel,gsm8k,GSM8K,True,100.0,1.0
semantic-kernel,gsm8k,GSM8K,True,100.0,1.0
superagi,gsm8k,GSM8K,True,100.0,1.0
superagi,gsm8k,GSM8K,True,100.0,1.0
superagi,gsm8k,GSM8K,True,100.0,1.0
swarm,gsm8k,GSM8K,True,100.0,1.0
swarm,gsm8k,GSM8K,True,100.0,1.0
swarm,gsm8k,GSM8K,True,100.0,1.0
upsonic,gsm8k,GSM8K,True,100.0,1.0
upsonic,gsm8k,GSM8K,True,100.0,1.0
upsonic,gsm8k,GSM8K,True,100.0,1.0
taskweaver,gsm8k,GSM8K,False,33.33333333333333,0.0
taskweaver,gsm8k,GSM8K,False,33.33333333333333,0.0
taskweaver,gsm8k,GSM8K,True,33.33333333333333,0.0
